#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
277077	5598	6446	111584	112344	-	RP1-188K17.1	MAPK7	SGK1	BMK1|ERK4|ERK5|PRKM7	SGK	Two-hybrid	physical	Hayashi M (2001)	PUBMED:11254654	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13164	A0A024QZ20	NP_620602|NP_002740|NP_620601|NP_620603	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277078	6446	5598	112344	111584	RP1-188K17.1	-	SGK1	MAPK7	SGK	BMK1|ERK4|ERK5|PRKM7	Reconstituted Complex	physical	Hayashi M (2001)	PUBMED:11254654	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q13164	A0A024QZ20	NP_620602|NP_002740|NP_620601|NP_620603	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277079	5598	6446	111584	112344	-	RP1-188K17.1	MAPK7	SGK1	BMK1|ERK4|ERK5|PRKM7	SGK	Biochemical Activity	physical	Hayashi M (2001)	PUBMED:11254654	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q13164	A0A024QZ20	NP_620602|NP_002740|NP_620601|NP_620603	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277568	9351	6446	114754	112344	-	RP1-188K17.1	SLC9A3R2	SGK1	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	SGK	Reconstituted Complex	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277571	6446	9351	112344	114754	RP1-188K17.1	-	SGK1	SLC9A3R2	SGK	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	Reconstituted Complex	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277572	6446	5170	112344	111196	RP1-188K17.1	-	SGK1	PDPK1	SGK	PDK1|PDPK2|PDPK2P|PRO0461	Reconstituted Complex	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277573	6446	9351	112344	114754	RP1-188K17.1	-	SGK1	SLC9A3R2	SGK	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	Biochemical Activity	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280794	6446	4734	112344	110811	RP1-188K17.1	PIG53	SGK1	NEDD4	SGK	NEDD4-1|RPF1	Reconstituted Complex	physical	Snyder PM (2002)	PUBMED:11696533	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P46934	-	NP_006145|NP_001271267|NP_001316141|NP_001271268|NP_001271269|NP_940682	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282554	6446	23589	112344	117124	RP1-188K17.1	-	SGK1	CARHSP1	SGK	CRHSP-24|CSDC1	Reconstituted Complex	physical	Auld GC (2005)	PUBMED:15910284	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q9Y2V2	-	NP_001035941|NP_001265189|NP_055131|NP_001265195|NP_001265194|NP_001265193|NP_001265192|NP_001265191|NP_001265190	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318163	5290	6446	111308	112344	-	RP1-188K17.1	PIK3CA	SGK1	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	SGK	Reconstituted Complex	physical	Park J (1999)	PUBMED:10357815	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P42336	-	NP_006209	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318164	5170	6446	111196	112344	-	RP1-188K17.1	PDPK1	SGK1	PDK1|PDPK2|PDPK2P|PRO0461	SGK	Reconstituted Complex	physical	Park J (1999)	PUBMED:10357815	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318165	5515	6446	111507	112344	-	RP1-188K17.1	PPP2CA	SGK1	PP2Ac|PP2CA|PP2Calpha|RP-C	SGK	Reconstituted Complex	physical	Park J (1999)	PUBMED:10357815	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P67775	B3KUN1	NP_001341948|NP_002706	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318175	9351	6446	114754	112344	-	RP1-188K17.1	SLC9A3R2	SGK1	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	SGK	Reconstituted Complex	physical	Yun CC (2002)	PUBMED:11751930	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318176	6446	9351	112344	114754	RP1-188K17.1	-	SGK1	SLC9A3R2	SGK	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	Affinity Capture-Western	physical	Yun CC (2002)	PUBMED:11751930	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	-	-	-	-	-	-	Homo sapiens	Homo sapiens
337982	6446	4300	112344	110446	RP1-188K17.1	-	SGK1	MLLT3	SGK	AF9|YEATS3	Biochemical Activity	physical	Zhang W (2007)	PUBMED:17332896	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P42568	-	NP_001273620|NP_004520	-	-	-	-	-	-	Homo sapiens	Homo sapiens
438713	8517	6446	114089	112344	-	RP1-188K17.1	IKBKG	SGK1	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	SGK	Reconstituted Complex	physical	Fenner BJ (2010)	PUBMED:20098747	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6K9	A0A087X1B1	NP_003630|NP_001138727|NP_001364244|NP_001364243|NP_001364242|NP_001364241|NP_001308326|NP_001308325|NP_001093327|NP_001093326	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
445519	853733	6446	34010	112344	YKL126W	RP1-188K17.1	YPK1	SGK1	SLI2|serine/threonine protein kinase YPK1|L000002541	SGK	Dosage Rescue	genetic	Jacquier N (2010)	PUBMED:20516150	559292	9606	Low Throughput	-	-	-	-	BIOGRID	P12688	-	NP_012796	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	APO:0000111	viability	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Homo sapiens
531042	5163	6446	111189	112344	-	RP1-188K17.1	PDK1	SGK1	-	SGK	Biochemical Activity	physical	Seong HA (2007)	PUBMED:17314099	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q15118	-	NP_001265478|NP_002601	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571329	4734	6446	110811	112344	PIG53	RP1-188K17.1	NEDD4	SGK1	NEDD4-1|RPF1	SGK	Biochemical Activity	physical	Persaud A (2009)	PUBMED:19953087	9606	9606	High Throughput	-	Ubiquitination	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BIOGRID	P46934	-	NP_006145|NP_001271267|NP_001316141|NP_001271268|NP_001271269|NP_940682	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
591774	6446	253260	112344	128962	RP1-188K17.1	-	SGK1	RICTOR	SGK	AVO3|PIA|hAVO3	Affinity Capture-Western	physical	Gao D (2010)	PUBMED:20832730	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q6R327	-	NP_689969|NP_001272368|NP_001272369	-	-	-	-	-	-	Homo sapiens	Homo sapiens
606995	6446	84447	112344	124085	RP1-188K17.1	-	SGK1	SYVN1	SGK	DER3|HRD1	Affinity Capture-Western	physical	Soundararajan R (2010)	PUBMED:20947508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q86TM6	-	NP_757385|NP_115807	-	-	-	-	-	-	Homo sapiens	Homo sapiens
606996	10273	6446	115563	112344	LA16c-313D11.6	RP1-188K17.1	STUB1	SGK1	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	SGK	Affinity Capture-Western	physical	Soundararajan R (2010)	PUBMED:20947508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
606997	6446	10273	112344	115563	RP1-188K17.1	LA16c-313D11.6	SGK1	STUB1	SGK	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Soundararajan R (2010)	PUBMED:20947508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
606999	6446	1831	112344	108165	RP1-188K17.1	RP13-364K23.1	SGK1	TSC22D3	SGK	DIP|DSIPI|GILZ|TSC-22R|hDIP	Affinity Capture-Western	physical	Soundararajan R (2010)	PUBMED:20947508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q99576	Q5JRJ2	NP_001015881|NP_932174|NP_001305397|NP_004080|NP_001305399	-	-	-	-	-	-	Homo sapiens	Homo sapiens
607000	1831	6446	108165	112344	RP13-364K23.1	RP1-188K17.1	TSC22D3	SGK1	DIP|DSIPI|GILZ|TSC-22R|hDIP	SGK	Affinity Capture-Western	physical	Soundararajan R (2010)	PUBMED:20947508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99576	Q5JRJ2	NP_001015881|NP_932174|NP_001305397|NP_004080|NP_001305399	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
607001	6446	5894	112344	111831	RP1-188K17.1	-	SGK1	RAF1	SGK	CMD1NN|CRAF|NS5|Raf-1|c-Raf	Affinity Capture-Western	physical	Soundararajan R (2010)	PUBMED:20947508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P04049	B4E0X2|L7RRS6	NP_001341624|NP_001341620|NP_001341621|NP_001341622|NP_001341623|NP_002871|NP_001341619|NP_001341618	-	-	-	-	-	-	Homo sapiens	Homo sapiens
607150	150684	6446	127317	112344	-	RP1-188K17.1	COMMD1	SGK1	C2orf5|MURR1	SGK	Affinity Capture-Western	physical	Ke Y (2010)	PUBMED:20237237	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N668	-	NP_689729	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
607151	6338	6446	112242	112344	hCG_23853	RP1-188K17.1	SCNN1B	SGK1	BESC1|ENaCb|ENaCbeta|SCNEB	SGK	Affinity Capture-Western	physical	Ke Y (2010)	PUBMED:20237237	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51168	B2R812	NP_000327	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
663583	1994	6446	108309	112344	-	RP1-188K17.1	ELAVL1	SGK1	ELAV1|HUR|Hua|MelG	SGK	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
674007	6446	10273	112344	115563	RP1-188K17.1	LA16c-313D11.6	SGK1	STUB1	SGK	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Belova L (2006)	PUBMED:16895519	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
674008	6446	3308	112344	109540	RP1-188K17.1	-	SGK1	HSPA4	SGK	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-Western	physical	Belova L (2006)	PUBMED:16895519	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P34932	-	NP_002145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
678409	6446	23327	112344	116915	RP1-188K17.1	-	SGK1	NEDD4L	SGK	NEDD4-2|NEDD4.2|RSP5|hNEDD4-2	Biochemical Activity	physical	Nagaki K (2006)	PUBMED:16716084	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q96PU5	A0A024R2A4|A0A024R281|B7Z2P9|B7Z6K0	NP_001230889|NP_001138441|NP_001138437|NP_001138436|NP_001138442|NP_001138443|NP_056092|NP_001138438|NP_001138440|NP_001138439	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679212	5894	6446	111831	112344	-	RP1-188K17.1	RAF1	SGK1	CMD1NN|CRAF|NS5|Raf-1|c-Raf	SGK	Affinity Capture-Western	physical	Soundararajan R (2009)	PUBMED:19380724	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04049	B4E0X2|L7RRS6	NP_001341624|NP_001341620|NP_001341621|NP_001341622|NP_001341623|NP_002871|NP_001341619|NP_001341618	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679214	6446	5894	112344	111831	RP1-188K17.1	-	SGK1	RAF1	SGK	CMD1NN|CRAF|NS5|Raf-1|c-Raf	Affinity Capture-Western	physical	Soundararajan R (2009)	PUBMED:19380724	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P04049	B4E0X2|L7RRS6	NP_001341624|NP_001341620|NP_001341621|NP_001341622|NP_001341623|NP_002871|NP_001341619|NP_001341618	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679215	6446	1831	112344	108165	RP1-188K17.1	RP13-364K23.1	SGK1	TSC22D3	SGK	DIP|DSIPI|GILZ|TSC-22R|hDIP	Affinity Capture-Western	physical	Soundararajan R (2009)	PUBMED:19380724	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q99576	Q5JRJ2	NP_001015881|NP_932174|NP_001305397|NP_004080|NP_001305399	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679216	1831	6446	108165	112344	RP13-364K23.1	RP1-188K17.1	TSC22D3	SGK1	DIP|DSIPI|GILZ|TSC-22R|hDIP	SGK	Affinity Capture-Western	physical	Soundararajan R (2009)	PUBMED:19380724	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99576	Q5JRJ2	NP_001015881|NP_932174|NP_001305397|NP_004080|NP_001305399	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
